경찰서이름,경찰서주소,관서
역촌1치안센터,서울 은평구 역촌동 23-34,역촌1치안센터
역촌파출소,서울 은평구 역촌동 62-26,역촌파출소
연남파출소,서울 마포구 연남동 373-20,연남파출소
연신내지구대,서울 은평구 갈현동 506-45,연신내지구대
연희파출소,서울 서대문구 연희동 86-12,연희파출소
염창지구대,서울 강서구 염창동 217-2,염창지구대
영등포경찰서 교통정보센터,서울 영등포구 영등포동6가 15-2,영등포경찰서 교통정보센터
영등포경찰서 구내식당,서울 영등포구 당산동3가 2-11,영등포경찰서 구내식당
영등포경찰서 민원실,서울 영등포구 당산동3가 2-11,영등포경찰서 민원실
영등포경찰서 전기차충전소,서울 영등포구 당산동3가 2-11,영등포경찰서 전기차충전소
영등포경찰서교차로,서울 영등포구 영등포동7가,영등포경찰서교차로
영등포경찰서어린이집,서울 영등포구 양평동6가 12-2,영등포경찰서어린이집
영등포역파출소,서울 영등포구 영등포동 618-501,영등포역파출소
오금파출소,서울 송파구 오금동 41-19,오금파출소
오류지구대,서울 구로구 오류동 81-130,오류지구대
옥수파출소,서울 성동구 옥수동 561,옥수파출소
옥인파출소,서울 종로구 옥인동 45-16,옥인파출소
왕십리파출소,서울 성동구 홍익동 102-1,왕십리파출소
용강지구대,서울 마포구 용강동 503,용강지구대
용답파출소,서울 성동구 용답동 83-5,용답파출소
용마지구대,서울 중랑구 면목동 176-2,용마지구대
